userName,score,content,reviewId,userImage,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
Tasyrifah Spd,1,Sangat buruk Sudah hampir 10 tahun jadi pelanggan shopee eh akhir2 ini beli barang seharga 3 juta rusak sudah dikembalikan eh dikembalikan balik sama pembeli Kalau tim shopee yang jadi pembeli rasanya gimana????? Bukti unboxing bukti foto semua ada malah mendukung penjual penipu... Bye bye aja sama aplikasi ini,,,,,,,,
Hii Hardian,5,"sangat membantu untuk mom mom yg dirumah saja karna ada baby masih bisa belanja, sukses selalu shopee",,,,,,,,
misti sugeng12,5,selama ini puas dg layanan shopee.terkadsng kecewanya sama penjualnya aja yg kurang menginformasikan secara detail perihal produknya.,,,,,,,,
melon amel,1,ini kenapa pembeli udah pencet pesanan selesai tapi dana shoppepay nya belum masuk juga padahal uang nya mau dipake kalo kaya gini rugi penjual,,,,,,,,
Mario Richardus,5,mantaabb,,,,,,,,
Helga Minora,5,belanja nyaman,,,,,,,,
Sheenav23,5,suka aplikasi ini memudahkan untuk belanja nggak perlu keluar rumah.,,,,,,,,
Ikhwan Fajararifin,5,tetaplah amanah dan berikan barang yg berkualitas..! trimkash,,,,,,,,
Rogayah Rogayah,5,puas segala pesanan asal COD,,,,,,,,
Supikto Supikto,5,keren,,,,,,,,
Ura Rahman,5,"cari apa saja adq,harga bersaing. pengiriman tepat waktu",,,,,,,,
Aulia Benings,5,memudahkan belanja,,,,,,,,
Skyy Respect,1,makin hari kurir shopee Expres makin aneh,,,,,,,,
Febri Hadi Widjaya,5,terbaik,,,,,,,,
Sahama sahama,5,enak pakai shoppy gampang aman amanah,,,,,,,,
papa elyo,5,aplikasi yg sangat bagus,,,,,,,,
atqan umar rukmanan,1,terima,,,,,,,,
Bunny Babe,1,"pengembalian dana udah lewaat tanggal... apa nih... Shopee nilep duit orang.... balikin duit gua.... tolong yg pernah ada kasus gini, kasih tahu gimana penyelesaian nya... bisa2 nya 2 minggu nggk balik2 duit.... pake alasan validasi... padahal yg jelas jelas salah seller... !!! barang bekas kok dikirim...",,,,,,,,
Fattan Vlog,5,mempermudah belanja jaman now..,,,,,,,,
Syamsukmawati Syamsuar,5,puas..dengan pesanan barang,,,,,,,,
Deni Sofian,5,good job,,,,,,,,
Sumiatun,5,Senang belanja di shoppe sekarang GK usah pergi ke toko cukup belanja di shoppe saja TDK usah pergi ke toko.ok,,,,,,,,
Hidayah0205,5,"bagus, sekarang ada COD cek dulu",,,,,,,,
Lc Waria,2,shope sekarang lama pengiriman nya kecewa berat ga kaya dulu sekarang bisa seminggu,,,,,,,,
Rama official,4,"aku gak suka ny saat pengembalian barang atau produk, ribet banget,",,,,,,,,
OBY,4,"tolong lh buat ekspedisi spx ny lh,paket sudah tertarah sampai DC tiggal pengantaran ny lagi eh malah balik lagi ke DC lain emang Laen di ekspedisi spx",,,,,,,,
fachrudin rivai,5,simple dan TDK ribet,,,,,,,,
Tirta Abiyan,3,sangat menggangu iklan shopee tapi untuk apk. okelah,,,,,,,,
Aditya Armansah,4,bgus dan tahan lama,,,,,,,,
Yuyun Ningsih,5,ketagihan belanja di shopee dan sangat membantu,,,,,,,,
Isop Sopiah,5,sangat puas,,,,,,,,
Andi Muh ikbal,5,oke,,,,,,,,
Faiz Akma,5,sopir top,,,,,,,,
Ririn Yikwa,5,..sering belanja di sini walaupun aku tinggal di Papua Pegunungan tapi barang selalu tiba dengan aman.. dan barang2 nya sesuai dengan yang saya inginkan.. pokoknya saya sangat puas belanja di Shopee.,,,,,,,,
Oppo Blue,5,good aplication,,,,,,,,
Adelia rr,5,Terima kasih banyak Shopee,,,,,,,,
yukko mi,1,Sekarang udh putus kerja sama jd lelet bgt pengirimannya. seminggu stuck ga ada update cuma nunggu di pick up sm kurir. pdhl cuma jkt ke lampung gess. abis ini dah ga mau order lg. auto uninstall.,,,,,,,,
Daniel Gultom,5,mantap shopee tingkat kan lagi pelayanannya,,,,,,,,
Mohammad Ali,5,shoppeee sip mantaabs,,,,,,,,
hendri kustiawan,5,"saran, riwayat pesanan selesai dibuatkan opsi penghapusan🙏",,,,,,,,
Lala Suprala,5,Bahagia,,,,,,,,
Fikry Haikal,4,"semenjak tidak ada jnt pengiriman jadi sangat lambat,biasanya pakai jnt estimati tiba lusa udah datang sekarang jadi nungguin 5-8 hari😞",,,,,,,,
Am Am,1,pengiriman shopee express sangat lambat tidak seperti sebelumnya mohon ditingkatkan kembali,,,,,,,,
Ahnad Sidik,5,bagus!,,,,,,,,
Bima Pranata,2,katanya transaksi 3juta jadi member gold. tapi sudah melebihi tetap silver! nggak jelas banget,,,,,,,,
Kukuh R,5,sangat membantu,,,,,,,,
Dea Anggi Nurmalaeli,5,sangat praktis dan mudah,,,,,,,,
Soni Slash,5,good market place,,,,,,,,
Dwiana Widya,3,Ini kenapa setiap buka shopee langsung ke video/live ganggu bgt tau berisik balikin normal kaya dulu aja,,,,,,,,
eka descha,5,"Selama menggunakan aplikasi shopee alhamdulillah blm kecewa, pelayanan'a sgt memuaskan, kurir ramah n waktu pengantaran relatif cepat, sukses selalu bwt shopee,, 👍",,,,,,,,
muhammad Rifa'i,5,sangat baguss,,,,,,,,
Desi Karim,5,sngat mengutung kan,,,,,,,,
Tegar Ade P,1,kena pembatasan akun mulu pdhal gk ngapa²in,,,,,,,,
SINDROL,1,"menurut ku buruk sih, buka shopee gk bisa, pas di buka cuma muncul gambarnya gak bisa di pencet",,,,,,,,
Mbah Kung,5,bagus banget,,,,,,,,
Kadek Edi,2,"5 tahun pengalaman belanja, sejak tahun kemaren kurir spx sudah tidak beres paket dikembalikan tanpa dikirim dan itu trjadi berulang ulang kedaerah saya. karna tidak ad sangsi kurir, kurir jadi seenak jidatnya aja.",,,,,,,,
Prastyo Rio,1,saya sudah kebobolan spaylater kedua kalinya,,,,,,,,
Edo Franata,5,cuma seharus nya ada no kurir jadi kita bisa menghubungi nya,,,,,,,,
heri santoso,5,"langganan belanja online,",,,,,,,,
Naaa Annna,3,"Shopee yang sekarang gak bisa buat cod , jadi kitaa yang gak punya aplikasi dana atau pun apa jadi susah mau pesen psen",,,,,,,,
Aris Risman,5,bagussss sekali topp,,,,,,,,
Callysta - Dorsanti H. Sihotang,5,bagusss,,,,,,,,
Deby Silawane,5,"puas belanja di shope,,",,,,,,,,
Dastin Serank,5,barang sesuai harapan,,,,,,,,
Siti Muthmainnah,5,"Fiturnya lengkap, banyak promo dan gratis ongkir. Transaksi mudah dan aman. Sangat membantu kebutuhan sehari-hari. Recommended banget!",,,,,,,,
Ajeng Jeng,5,terimakaaih,,,,,,,,
Wahyu Nisa,5,"sangat puas dengan belanja d,shopee, karna sesuai ynk kita pesan,ok puxa lah",,,,,,,,
su wedi,4,sekarang shopee pengirimanya lambatt ..gk secepat dlu trs kdng estimasi dirubah² ..klo kurir kirim paket gk tertera no tlpn sikurirnya kurang jos gk kya ttga sebelah...byk kecewa tmn jg sama shopee pd bralih k ttga sblh..ayo donk tingkatkan lagi..jgn kebanyakan byr artis mahal² iklanin tp kualitas aplikasi sma playanan gk ditingkatin..,,,,,,,,
Harmony Nusantara,5,👍,,,,,,,,
Sugeng Sumarno,5,mantap jooosss,,,,,,,,
Cahayamaulita,5,shopee mantap...sangat membantu...mempermudah semua,,,,,,,,
Agus Ramadhan,5,pesanan sesuai kriteria,,,,,,,,
Alex Supardi,5,Ban metik yanaha ban belakang berapa harganya,,,,,,,,
heny rohayni,2,sebenernya aplikasi nya bagus...hanya pengiriman nya pst slalu melebihi tgl estimasi...harus nya tgl 16 (misal) udh smpe ini mlah ke cakung dulu.. pdhal pengiriman dan alamat penerima dr daerah yg sama...semua pengiriman jd lama karena pst transit ke cakung dc dluu...tolong dong diperbaiki lg pengiriman nya...,,,,,,,,
Maulana Maulana,5,menurut kami Shopye pelayana nya mudah dancepat dan baik yang sipatnya kebutuha sulit adanya shopye jadi sangat mudah tidaada kesulitan adanya shopye jadi memudahkan setiap kebutuhan Semoga Shopye tetap memberikan pelayanan yang terbaik selamanya Amiin..,,,,,,,,
Santo Susanto,5,sangat menarik,,,,,,,,
wawan erwana,5,pelayannya bagus,,,,,,,,
Budiarjo,5,untuk sementara tdk ada yg mengecewakan barang yg di pesan sesuai pesanan shopee emang keren,,,,,,,,
Mami Amel,5,berbelanja di shopee sangat memuaskan,,,,,,,,
Nur Aisyah,5,aman cepat amanah harga terjangkau,,,,,,,,
Azlan Ayub,5,ok sip,,,,,,,,
Elly Avrielyani,2,mas buat liat saya ga bisa loading terus ..trus mau bayar barang yg Uda di check out ga muncul2 gimana si soppe,,,,,,,,
PIAYU MAS,5,"Cepat Respon, lengkap",,,,,,,,
Sabar Om,3,coin yang di dapat selalu hilang mengumpulkanya dengan susah punya di hapus begitu saja,,,,,,,,
Zafir Sanusi,5,shopee terbaik,,,,,,,,
Sebastianus Tian / Lonang,5,Semoga semakin lancar,,,,,,,,
Yulinda Misra,5,"sangat senang blanja melalui shope, karna barang murah banyak pocernya,kuwalitas bahan ok2,sesuwai dgn yg di live pedagang yg bergabung dgn shope,semoga shope tambah maju trus..biar banyak2 ngasih pocer nya 😊😊",,,,,,,,
Oppo 456,5,bagus banget dan lebih seru,,,,,,,,
Lizardi 05,5,"selalu memberikan pelayanan yg terbaik buat konsumennya, semoga sukses selalu.",,,,,,,,
Janner Silitonga,5,"Ribet,,,saldo udah di isi, mau bayar pun harus daftar inilah itulah,,,sudah melebihi bank verifikasinya, ribet pokoknya, biar ada alasan kalian mendapatkan data pribadi, terus kalian gunakan seenaknya,,,",,,,,,,,
Hava Gaga,5,bagus karna banyak ongkir nya jadi aku kalo ada apa apa beli di Shopee ditambah murah baget harganya,,,,,,,,
Heni Kuswiyanti,5,setiap kali beli selalu sesuai yang diinginkan...semoga shopee lebih baik lagi dalam berbagai bentuk baik dari kualitas dan kuantitas..agar konsumen lebih banyak lagi dan puas..,,,,,,,,
Feiby Mei,5,good,,,,,,,,
Hanny Hanny0505,5,oyen semangat trs,,,,,,,,
Zumrotul Mufidah,5,memudahkan,,,,,,,,
Maomettano Rizky,5,Sangat membantu,,,,,,,,
Mark Lambert,5,mantap jiwa,,,,,,,,
Haris12 Padila,5,"terimakasih atas layanan yang diberikan semoga pelayanan tidak mengecewakan , sesuai dengan yang di harapkan mantap oke 👍👍👍👍",,,,,,,,
Dani Durkos2,5,Sesuai amanah,,,,,,,,
Nurkholik Nur,5,mantab pesanan tepat waktu sampai dan lebih murah dr beli di toko2,,,,,,,,
Choki Choki,2,Makin parah pengiriman lambat banget woy... biasanya cuma 2-3 hari . ini malah 4 hari haduuhh..,,,,,,,,
Leha Syakir,3,"Shopee tolong dong,, saat pencarian silahkan pasang produknya,,ini gak dicari gambar2 pakaian ""dewasa"" sering muncul diberanda. Tolonglah saat tidak minat gambar produk ""vulgar""nya,jangan dimunculkan apabila gak diminta. Kalau yg dewasa gak masalah,ini anak2 bisa lihat gambar gak senonoh di shopee,,Tolong Perhatikan ini. Terima kasih.",,,,,,,,
Muhammad Alfaris,5,mantap...belanja online yang penuh bonus gratis ongkir....👍👍👍👍👍,,,,,,,,
Angela Halmon,2,"tolong lebih di perhatikan lagi, ada beberapa barang pesenan saya yang hilang dan suka di kembalikan begitu saja, dan sering banget barang pesenan saya di kirimkan di tanggal yang tidak sesuai dgn estimasi/lambat, entah itu karena kurir nya yg lelet atau ekspedisi nya. Tolong lebih di perhatikan yah pihak shopee takutnya ada yang urgent pengen pke barangnya apalagi kalau customer nya udah bayar🙏",,,,,,,,
Riana A. Reski,1,"saya tidak pernah kecewa sama shopee, meskipun pesanan kadang2 bermasalah. tapi per hari ini, filter lokasi tidak berfungsi, jadi tidak bisa cari yang instan. mohon shopee perbaiki algoritma nya.",,,,,,,,
Hilda Novita,2,kayaknya shopee kudu nyantumin no hp kurir biar bisa di hubungi. paket gua salah ngasih mau nyari no hp kurir susah ! udah chat Choki dapet nomor agen pengiriman tp saat agen di chat jawab nya dia tidak tau menau karna bukan bagian pengiriman. paket sudah sampai tapi salah orang kok bisa ? di bukti pengiriman salah orang di foto nya. kesel bgt kayak gini ngadu kemana coba,,,,,,,,
Citra Nw,1,gbs cod,,,,,,,,
Rahmat Sadeli,1,"Kecewa karena ""status pengiriman tidak bergerak "" lalu Estimasi tiba paketnya seketika berubah jadi lebih lama yang seharusnya 3 hari sudah sampai ini jadi seminggu",,,,,,,,
Nur Chamim,5,sangat membantu dan praktis,,,,,,,,
Winda Febianty,5,aplikasi memudahkan untuk berbelanja online,,,,,,,,
julia larasati,1,"saya pesen kok lama bgt di pengiriman ya? sampe 10 hari lo blm sampe sampe. biasanya cm 3 hari, kecewa bgt sama shopee skrg",,,,,,,,
Rj Ikka,1,shoppe ny ngak bisa cod tolong lah KK admin buka fitur cod nya 🙏,,,,,,,,
Matius Min,5,"aplikasi shoppe sangat bagus sekali buat di gunakan untuk belanja online,.selain aplikasi nya bagus pelayanan nya juga sangat gercep sekali..pesanan di sini biasa nya datang lebih cepat dari estimasi. senang sekali dengan pelayanan nya trimakasih aplikasi shoppe sudah membantu pelayanan online yg terbaik 🙏",,,,,,,,
Moch.,5,aman nyaman,,,,,,,,
Inha,1,"PERCUMA KAU NGASIH VOUCHER GEDE 20% 100RB TAPI BEGITU DIPAKAI LANGSUNG DIBATALKAN BEGITU SAJA! KALAU GAK NIAT KASIH VOUCHER MENDING GAK USAH KASIH SEKALIAN DARIPADA CUMA PHP DOANG! UDAHLAH JADI SELLER DITINDAS, JADI BUYER DI-PHP-IN. ASTAGHFIRULLAH!!!",,,,,,,,
Ari Yono,5,membantu,,,,,,,,
Anda Jaya,5,udah bagus..tapi terlalu sering update,,,,,,,,
Derry Fauzan,5,mantap.lebih praktis dan murah,,,,,,,,
Deri Elhilmi,5,"mantap, senang dengan adanya aplikasi shopee",,,,,,,,
Tata Sabtar,3,pengen yg lebih murah lagi tapi bahan nya kudu bagus banget yaaa wkwkw,,,,,,,,
Ayu Ningsih,5,klau apk nya bagus tapi tiap kali pesan tiba2 gak ada d kemas langsung otomatis tolong donk perbaikin,,,,,,,,
Mamih Imasetih,5,sangat puas belanja di Shopie 💪,,,,,,,,
AbgDogeL,5,sangat membantu usaha dan kegiatan ekonom,,,,,,,,
yuli hermono,5,tidak pernah mengecewakan dan pelayanan cepat,,,,,,,,
Munawir Qolby,5,"alhamdulillah, belanja jadi mudah, murah, gratis ongkir, banyak diskon, dll..pokoknya top lah..,👍👍👍👍😊",,,,,,,,
Bang Memet 530,5,bisa cek dulu baru bayar👍,,,,,,,,
Muhamadbasyar 1945,5,Semoga lebih maju dan berkembang terus shopee 🙏🙏,,,,,,,,
arif suherman,5,"okelah, bagus, terpercaya",,,,,,,,
Herry Purwanto,1,"Tim shopee ga becus hadapi kendala sepele, diulur2 waktu... minta ini itu semua data sdh lengkap, ujung2nya ga ada solusi !!! Data aja terus diminta...",,,,,,,,
Arief Riefsa,3,"shopee express sangat lamban, tolong diperbaiki kualitas layanannya.. sekarang koq makin tidak ada pilihan kurir lain ya? kalau shopee express begini terus dan tidak berbenah, lebih baik ditiadakan saja.. mengecewakan!",,,,,,,,
Elvi Asiaa,3,"pelayanan cukup bagus tapi tolong ini game nya dipisah aja memberatkan aplikasi, baru login shoope eh nglagg bangettz minta tolong ya game nya dipisah sama aplikasi belanjanya biar gak ngelag. lagian orang mau belanja online malah ada game di aplikasinya gimna ga berat apknya",,,,,,,,
Panca Kurniawan,5,keren banyak diskonnya,,,,,,,,
Novita Dwi Lestari,5,Saya banyak terbantu oleh Shopee saat membutuhkan barang dan bingung belinya dimana... di shopee ada..,,,,,,,,
inah sarwinah,5,shopee mantap,,,,,,,,
Dewi Ningsih,5,saya suka belanja dishopee.,,,,,,,,
Toko Teh ai,1,"parah bener-bener parah expedisi spx,,katanya seh expedisi punya shoope,,lelet nya minta ampun,,liat noh expedisi lazada,,bener bener expres, beneran 1 hari sampai,,",,,,,,,,
Aliya Paramita,1,"setelah shopee tidak menggunakan layanan exspedisi J&T semua pengiriman menjadi sangat lambat.. biasanya paket lewat J&T 3 hari sampai, sekarang pakai expedisi dari SPX paling cepat 5 hari",,,,,,,,
Yahya Che,5,pengalaman belanja yg lebih efisien,,,,,,,,
Frando Tomi,5,cukup lumayan,,,,,,,,
kumala sari nailul,3,saya ingin magmbalikan barang tpi tidak bisa mngrim vidio bukti...kalu foto bisa tpi vidio tidk bisa,,,,,,,,
Endang Tertana,5,Oke,,,,,,,,
Pejuang Kaffah,5,kalo mesen food tolong ditunjukkan pergerakan drivernya ya dengan tampilan map,,,,,,,,
Muhammad Haikal,5,"barang2 yg sesuai kebutuhan harga terjangkau dn barang sesuai yg d inginkan,bsa cod",,,,,,,,
IHSAN channel TV,5,mudah buat belanja dan banyak promo gratis ongkir,,,,,,,,
Ahmad Fauzi,1,laging parah !!!!!,,,,,,,,
Assyifa Fajar,5,⭐⭐⭐⭐⭐👍.,,,,,,,,
Soleh Udin,5,di ctk ta yang ini lebih banyak eh ya ws syukur ari pada saat,,,,,,,,
Wahyu 1697,5,cukup bagus,,,,,,,,
Zulkifli 68,4,barang pesanan yg datang bisa tidak utuh . atau siap pakai,,,,,,,,
pro Ajah,4,cukup memuaskan,,,,,,,,
Rianto,5,"belanja di shopee lengkap, murah",,,,,,,,
Eboet Kencleng,1,"tolong dibantu bagian penggajian, karyawan2 spx vendor FTI sudah 2bulan menunggak gaji&insentif.. kami karyawan jg butuh makan bukan hanya disuruh kerja&kerja. kalau memang tidak sanggup biar diganti vendor nya jgn gaji dari shoppe turun masuk kantong pribadi aja. vendor nya pd lepas tangan ga ada yg bisa dihbungin kami sudah buntu harus ngmong kmna.",,,,,,,,
Sri Nalendra,5,"shopee sekarang kacau enga bisa cod toko nya hati""isi nya penipu semua bro",,,,,,,,
RAYHAN_KEC RAYHAN_AJA (RAYHAN_AJA),5,belanja di shopee sangat memuaskan,,,,,,,,
SUHU JETSUN ARAHATO,5,LOVE IT,,,,,,,,
Wulan Sari,5,"kusuka shopee, barang bagus real harga murce kualitas oke bnyak promo dan gratis ongkir👍, pertahankan.",,,,,,,,
fajar Nandha,1,"pengiriman lelet sekarang, berminggu Minggu baru sampe , gak kek dulu lagi, kapok pesan barang lagi di shopee, pindah ke apk lain aja",,,,,,,,
Rahmadani Mustamin,5,selama berbelanja di shopee mulai dari produk sampai pengiriman berjalan dengan lancar. semua barang yang saya order sesuai dengan pesanan. kurirnya juga ramah dan gercep.,,,,,,,,
Kapten kid,1,makin kesini makin lama makin buruk dari penjualan sama pengiriman barang,,,,,,,,
Marta Doang,5,sangat bagus,,,,,,,,
Puji Ridwan,5,jooos pokona mah,,,,,,,,
Reza 1234,5,banyak promo dan potongn harga,,,,,,,,
pedro,5,termurah,,,,,,,,
Apil Pil,5,Sayang nya gak bisa instal 🙏,,,,,,,,
Scinor Corp,5,terimakasih shopee muachhh...,,,,,,,,
Frengki Taduminggir,1,"aplikasi nya sangat buruk,beli token listrik tidak masuk no nya ,dan saldo shopee pay sudah di potong,, , operator shopee tidak ada pengetahuan nya ,, setelah di tanya gak ada kejelasannya gak tau saldo shopee pay ke mna sedangkan no token gak ada yang muncul,, 👎🏿",,,,,,,,
RIYAN Dakota7,5,TERBAIK DARI YANG TERBAIK,,,,,,,,
Mas Sil,5,sementara ini saya sangat puas atas pelayanan shopee,,,,,,,,
Khairan Humaira Syabil,5,perfect,,,,,,,,
Fatimah Iriyanti,5,bintang selalu jujur,,,,,,,,
adede ujung,5,Alhamdulillah shopee sudah bisa dibuka kembali..semoga bermanfaat dan bisa naik level..,,,,,,,,
Audy Awuy,5,nice,,,,,,,,
Na Wang,1,"Aplikasi suka log out sendiri. Dan suka ngeblank, hitam. Saat mau komplain gak bisa kirim gambar/vidio",,,,,,,,
Broken Teddies,1,"lambat sekali pengiriman 😔 ,kemarin pake j&T lumayan cepat",,,,,,,,
Endah Himawati,5,"Belanjaa jd mudaahhh,, jd g keluar ongkos banyakkk. Trmksh Udin",,,,,,,,
Asep Ii Nugraha,5,sangat memuaskan dan membantu,,,,,,,,
Tri Mario,5,aplikasi sangat membantu dalam kebutuhan rumah tangga industri dan home industri Terima kasih shopee sudah membantu untuk keperluan industri rumahan subjek konstruksi perbengkelan dan alat-alat pertukangan terima kasih,,,,,,,,
Dany Rotawu,2,"Lemot Bangeeet akhir akhir ini buka shopeee, live, ke live loading bangeet... Paraaah",,,,,,,,
Andhy Dika,5,sangat memuasakan,,,,,,,,
Amirudin KN,5,mantull,,,,,,,,
Patrick Jonathan Simanjuntak,1,"makin kurangajar banget ya shopee Skrang.. kita topup Spay semisal 100k, kita dibebanin biaya tambahan 500 perak per tiap topup, tapi jumlah yg dikirim ke Spay kita jadi cuma 99k dipotong 1k entah buat apa. jadi sama aja kek kena biaya 1500 perak.. ngeri banget itu dikali brapa transaksi.. udah mana ada biaya tambahan sgala 1900 perak tiap transaksi CO.",,,,,,,,
elin,3,tolong dong flash sell dengan vocer diskon potong harga jangan di gabung agak menganggu . lebih baik di pisah . agak sayang di gabung vocer diskon potongan harga dengan flash sell,,,,,,,,
yusmanta elfrant,5,sesuai pesanan,,,,,,,,
Sunarti Sunarti,1,"pas, enak dipakai, bahan tidak panas.",,,,,,,,
Hawati Wati,5,sangat memuaskan belanja online shopy ga ribet tanpa harus kluar rumah bs beli apa saja yg d ingin kan.,,,,,,,,
Ade Furqon,5,mantapp,,,,,,,,
Munandi Andi,4,barang semua bagus,,,,,,,,
MHD YANI TIM INTI MTs NURUL HUDA,5,puas ..Jauh dari kata was was,,,,,,,,
Asenk Liao,4,"banyak cod yg tidak di bayar, retur an banyak pada rusak",,,,,,,,
Lisa Hendra,5,Sering minta registrasi,,,,,,,,
Imel Citra,1,Udah brubah drastis pengiriman nyah udah lambat mending beli di toko sebelah aja,,,,,,,,
Lutfi Imam,4,"saran , untuk vocer diskon atau cashback jangan semuanya harus toko mall&star doang , sebelum puasa masih ada vocer yg buat toko selain mall&star",,,,,,,,
Yusri Mahendra,5,"Tolong dong pihak Shopee, masalah pihak kurir pengirimannya tidak bertanggung jawab, saya menunggu pesanan saya sudah hampir sebulan belum saya diterima, sampai saya cek rincian pesanan saya secara detail malah pihak kurir pengirimnya dibilangnya saya menolak pesanan, padahal saya menunggu pesanan saya, saya biasa membeli dengan COD CEK DULU/COD saya tidak aktif lagi, saya kecewa dengan pihak kurir pengirimnya tidak bertanggung jawab, saya dibilang menolak pesanan, tolong berikan ketegasannya",,,,,,,,
Iie Achirudin,5,Good app,,,,,,,,
Minato Hardi,5,barang sesuai pesanan.. kurir ramah. barang tidak sesuai bisa di kembalikan,,,,,,,,
Saifuddin “Poen pro jual bibit” Saja,5,mohon maaf buka dong cod kenak pembatasan...akun.. padahal yg gagal di kirim pas mau buka puasa g ada di rumah,,,,,,,,
Babang Bibit,5,tap mantap,,,,,,,,
